"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.267024540E1,6.505463050E1,2.545633736E1,1.483522263E1,9.599999785E-1,3.390000000E2,3.790092468E0,2.500000000E0
4.367044561E1,6.505463737E1,2.545632672E1,1.461799468E1,7.599999905E-1,3.272999878E2,3.790092468E0,2.500000000E0
4.467056092E1,6.505464775E1,2.545631463E1,1.523224715E1,1.129999995E0,3.341000061E2,3.790092468E0,2.500000000E0
4.567044212E1,6.505465647E1,2.545630375E1,1.473126601E1,1.100000024E0,3.351000061E2,3.790092468E0,2.500000000E0
4.667001082E1,6.505466479E1,2.545629559E1,1.462530486E1,1.039999962E0,3.396000061E2,3.790092468E0,2.500000000E0
4.767079337E1,6.505467443E1,2.545628857E1,1.500884526E1,1.070000052E0,3.428999939E2,3.790092468E0,2.500000000E0
4.867065858E1,6.505468501E1,2.545628164E1,1.501042730E1,1.070000052E0,3.408999939E2,3.790092468E0,2.500000000E0
4.967020899E1,6.505469524E1,2.545627391E1,1.501670909E1,1.070000052E0,3.407999878E2,3.790092468E0,2.500000000E0
5.067068358E1,6.505470690E1,2.545626669E1,1.534366909E1,1.139999986E0,3.386000061E2,3.790092468E0,2.500000000E0
5.166993581E1,6.505471732E1,2.545625804E1,1.532004349E1,1.090000033E0,3.377999878E2,3.790092468E0,2.500000000E0
5.267050837E1,6.505472846E1,2.545624899E1,1.569100984E1,1.110000014E0,3.390000000E2,3.790092468E0,2.500000000E0
5.367063894E1,6.505473983E1,2.545624046E1,1.600008652E1,1.120000005E0,3.402999878E2,3.790092468E0,2.500000000E0
5.467047764E1,6.505475146E1,2.545623248E1,1.610091119E1,1.120000005E0,3.410000000E2,3.790092468E0,2.500000000E0
5.567084274E1,6.505476180E1,2.545622276E1,1.544300816E1,1.120000005E0,3.403999939E2,3.790092468E0,2.500000000E0
5.667085883E1,6.505477114E1,2.545621252E1,1.521888232E1,1.059999943E0,3.412000122E2,3.790092468E0,2.500000000E0
5.767009576E1,6.505478150E1,2.545620367E1,1.525439978E1,1.100000024E0,3.420000000E2,3.790092468E0,2.500000000E0
5.867077295E1,6.505479288E1,2.545619508E1,1.526702869E1,1.120000005E0,3.421000061E2,3.790092468E0,2.500000000E0
5.967077951E1,6.505480381E1,2.545618443E1,1.514916439E1,1.120000005E0,3.387999878E2,3.790092468E0,2.500000000E0
6.067007539E1,6.505481392E1,2.545617230E1,1.524376363E1,1.100000024E0,3.325000000E2,3.790092468E0,2.500000000E0
6.167021987E1,6.505482411E1,2.545616152E1,1.516105586E1,1.139999986E0,3.342000122E2,3.790092468E0,2.500000000E0
6.267085211E1,6.505483382E1,2.545614967E1,1.515909767E1,1.149999976E0,3.357999878E2,3.790092468E0,2.500000000E0
6.367018873E1,6.505484284E1,2.545613713E1,1.479599465E1,1.210000038E0,3.347000122E2,3.790092468E0,2.500000000E0
6.467070206E1,6.505485117E1,2.545612383E1,1.441641234E1,1.169999957E0,3.346000061E2,3.790092468E0,2.500000000E0
6.567074435E1,6.505485967E1,2.545611329E1,1.450387126E1,1.149999976E0,3.376000061E2,3.790092468E0,2.500000000E0
6.667027846E1,6.505486861E1,2.545610624E1,1.466054426E1,1.179999948E0,3.413999939E2,3.790092468E0,2.500000000E0
6.767003700E1,6.505487777E1,2.545609979E1,1.464021528E1,1.169999957E0,3.401000061E2,3.790092468E0,2.500000000E0
6.867036237E1,6.505488739E1,2.545608991E1,1.447565968E1,1.169999957E0,3.375000000E2,3.790092468E0,2.500000000E0
6.967058961E1,6.505489661E1,2.545607830E1,1.451062797E1,1.190000057E0,3.348999939E2,3.790092468E0,2.500000000E0
7.067032862E1,6.505490541E1,2.545606706E1,1.431921708E1,1.200000048E0,3.352999878E2,3.790092468E0,2.500000000E0
7.167042773E1,6.505491483E1,2.545605538E1,1.418218822E1,1.279999971E0,3.352000122E2,3.790092468E0,2.500000000E0
7.267079669E1,6.505492349E1,2.545604422E1,1.415532817E1,1.230000019E0,3.350000000E2,3.790092468E0,2.500000000E0
7.367005393E1,6.505493246E1,2.545603407E1,1.418187386E1,1.169999957E0,3.350000000E2,3.790092468E0,2.500000000E0
7.467031091E1,6.505494267E1,2.545602362E1,1.430564805E1,1.220000029E0,3.352000122E2,3.790092468E0,2.500000000E0
